Id,name,age,course_id,date,is_paid
87575,Vũ Ngọc Thảo,23,A3,30/03/23,True
97922,Phạm Minh Linh,22,A1,18/01/24,True
88657,Vũ Quang Oanh,25,A1,07/06/23,True
62921,Lê Văn Oanh,24,A1,19/01/24,True
65609,Trần Ngọc Hà,28,A5,07/01/24,True
80313,Hoàng Ngọc Mai,21,A5,13/08/23,True
78027,Vũ Công Phong,19,A1,06/06/23,True
13051,Nguyễn Văn Nam,19,A7,05/03/23,True
64021,Nguyễn Văn Linh,19,A1,20/03/23,True
79678,Lê Đức Hà,19,A3,19/04/23,True
27019,Phạm Minh Long,20,A3,28/03/23,True
83847,Đỗ Thị Khoa,39,A1,11/04/23,True
35945,Nguyễn Công Vinh,22,A1,13/07/23,False
61990,Phạm Thị Vinh,24,A1,30/09/23,True
76617,Trần Công Xuân,35,A6,11/01/24,True
56175,Phan Ngọc Nam,18,A1,11/08/23,True
55543,Nguyễn Ngọc Trang,21,A7,13/03/23,True
23500,Đặng Hữu Phong,23,A4,05/03/23,True
69638,Hoàng Minh Quân,24,A1,04/04/23,True
79042,Hoàng Quang Linh,27,A4,12/09/23,True
71389,Đặng Đức Quân,24,A1,22/07/23,True
61293,Phan Văn Trang,28,A5,28/05/23,True
53919,Phạm Quang Long,23,A1,07/02/23,True
72752,Hoàng Văn Thu,38,A1,01/10/23,True
33049,Vũ Minh Thảo,24,A7,03/06/23,True
50158,Đặng Minh Anh,14,A1,09/07/23,False
19823,Phạm Công Vinh,23,A5,06/05/23,True
14611,Phan Ngọc Thảo,24,A2,14/06/23,False
40977,Hoàng Công Long,24,A1,26/10/23,True
70890,Phan Thị Thảo,41,A5,26/10/23,True
21938,Phạm Minh Long,25,A2,09/05/23,True
48304,Đỗ Công Dũng,30,A2,08/10/23,True
30764,Phan Hữu Ly,17,A1,29/11/23,True
22161,Hoàng Văn Bảo,24,A1,29/11/23,True
37350,Đặng Thị Anh,22,A1,01/06/23,True
25305,Đặng Quang Khoa,44,A1,02/06/23,True
30358,Trần Thị Oanh,23,A1,16/03/23,True
36092,Nguyễn Hữu Hà,30,A7,20/12/23,True
43496,Phạm Thị Thảo,23,A5,02/04/23,True
54425,Đỗ Đức Thu,22,A1,02/09/23,True
93042,Đỗ Ngọc Ly,19,A1,26/03/23,True
